Year,CO2 Emissions
1900,96630672
1901,108069680
1902,119464720
1903,130683888
1904,142229152
1905,154276384
1906,168635600
1907,184112336
1908,200867808
1909,215421216
1910,232858192
1911,252097856
1912,272883728
1913,295274432
1914,319753616
1915,341547088
1916,360819728
1917,381579952
1918,404520256
1919,426258768
1920,451991040
1921,475143856
1922,499487472
1923,524336720
1924,551406352
1925,579641136
1926,607494864
1927,636389168
1928,662678368
1929,686333152
1930,708364784
1931,727912224
1932,748254752
1933,769835712
1934,792534192
1935,817764496
1936,844815808
1937,873673472
1938,901710400
1939,933854672
1940,962895536
1941,997443392
1942,1033947824
1943,1068939024
1944,1103149792
1945,1135847328
1946,1171270880
1947,1209288544
1948,1247712912
1949,1285364176
1950,1340108000
1951,1399142368
1952,1459349216
1953,1518790288
1954,1586636576
1955,1657318800
1956,1730356976
1957,1804882736
1958,1882500912
1959,1966209069
1960,2054327969
1961,2144831866
1962,2239655321
1963,2340589585
1964,2449465351
1965,2570318020
1966,2690537322
1967,2819681534
1968,2954178434
1969,3096302236
1970,3243782004
1971,3396411541
1972,3553747086
1973,3724574480
1974,3896763867
1975,4072477793
1976,4246552489
1977,4434157356
1978,4635977535
1979,4840847110
1980,5061378110
1981,5291510753
1982,5525399400
1983,5750184413
1984,5986545606
1985,6227533578
1986,6467255797
1987,6723106021
1988,6983984817
1989,7261470424
1990,7539894800
1991,7819767164
1992,8104679288
1993,8393914145
1994,8687928755
1995,8993338555
1996,9305699765
1997,9626494461
1998,9961178567
1999,10305241904
2000,10655436485
2001,11013105228
2002,11375314322
2003,11745040157
2004,12128245102
2005,12514760314
2006,12907442187
2007,13307857916
2008,13712906454
2009,14121579085
2010,14528331858
2011,14932578429
2012,15339724486
2013,15737888284
2014,16131352524
2015,16534347977
2016,16947717900
2017,17360810555