Species,Type
Bird,Critically Endangered
Bird,Critically Endangered
Bird,Critically Endangered
Bird,Endangered
Bird,Endangered
Bird,Endangered
Bird,Endangered
Bird,Vulnerable
Bird,Vulnerable
Fish,Endangered
Fish,Endangered
Fish,Endangered
Fish,Vulnerable
Frog,Critically Endangered
Frog,Critically Endangered
Frog,Critically Endangered
Frog,Endangered
Frog,Endangered
Frog,Endangered
Frog,Endangered
Frog,Vulnerable
Frog,Vulnerable
Frog,Vulnerable
Frog,Vulnerable
Frog,Vulnerable
Frog,Vulnerable
Frog,Vulnerable
Insect,Critically Endangered
Insect,Endangered
Insect,Endangered
Insect,Vulnerable
Reptile,Critically Endangered
Reptile,Critically Endangered
Reptile,Endangered
Reptile,Endangered
Reptile,Vulnerable
Reptile,Vulnerable
Reptile,Vulnerable
Spider,Vulnerable
Mouse,Endangered
Mouse,Endangered
Mouse,Vulnerable
Mouse,Vulnerable
Koala,Vulnerable
Wallaby,Vulnerable
Echidna,Endangered