maximum temperature (degC),sum,Year,Avgtemp,STE
53815.2,2740,1910,19.64058394,3
56347.3,2896,1911,19.45694061,3
56942.4,2878,1912,19.78540653,3
61862.3,3144,1913,19.67630407,3
64886.6,3108,1914,20.87728443,3
60236.5,3096,1915,19.45623385,3
58468.3,3024,1916,19.33475529,3
59873.3,3134,1917,19.10443523,3
61064.2,3090,1918,19.76187702,3
62991.6,3083,1919,20.43191696,3
60134.2,3075,1920,19.5558374,3
63934.5,3129,1921,20.43288591,3
61729.4,3105,1922,19.88064412,3
61854,3124,1923,19.79961588,3
58404.8,3105,1924,18.80991948,3
57400.2,2977,1925,19.28122271,3
61384.6,3088,1926,19.87843264,3
58749.6,2932,1927,20.03738063,3
59674.5,2996,1928,19.91805741,3
59152.5,3099,1929,19.08760891,3
60998.3,3023,1930,20.17806814,3
56626.3,2961,1931,19.12404593,3
58702.8,3009,1932,19.50907278,3
59434.1,3038,1933,19.56356155,3
61975.6,3079,1934,20.12848327,3
59678.6,3080,1935,19.37616883,3
59971,3065,1936,19.56639478,3
60964.8,3082,1937,19.78092148,3
69829.1,3429,1938,20.3642753,3
67022.7,3416,1939,19.62022834,3
69384.8,3434,1940,20.2052417,3
67142.3,3444,1941,19.49544135,3
68386.6,3443,1942,19.86250363,3
67057.2,3519,1943,19.05575448,3
74637.5,3811,1944,19.58475466,3
73311.4,3810,1945,19.24183727,3
70308.6,3727,1946,18.86466327,3
73063.1,3717,1947,19.65647027,3
72566.5,3790,1948,19.14683377,3
65791.1,3535,1949,18.61134371,3
75850,3863,1950,19.63499871,3
73100.5,3671,1951,19.91296649,3
73974.3,3887,1952,19.03120659,3
76626.2,3908,1953,19.60752303,3
75295,3814,1954,19.74174095,3
75797.4,3908,1955,19.39544524,3
71297.4,3787,1956,18.82688144,3
73387.7,3711,1957,19.77572083,3
73614.6,3838,1958,19.18045857,3
74766.6,3714,1959,20.13101777,3
62179.4,3257,1960,19.09100399,3
65667.8,3261,1961,20.13731984,3
71173.1,3584,1962,19.85856585,3
67426.4,3425,1963,19.68654015,3
68259.9,3565,1964,19.14723703,3
77887.1,3889,1965,20.02753921,3
75555.7,3877,1966,19.48818674,3
80520.3,3983,1967,20.21599297,3
79632.8,3994,1968,19.93810716,3
77930.4,3974,1969,19.61006543,3
73907.2,3805,1970,19.42370565,3
78551.7,3972,1971,19.77635952,3
81904.5,4002,1972,20.46589205,3
79529.9,3987,1973,19.94730374,3
77029.1,3953,1974,19.4862383,3
79431.3,3965,1975,20.03311475,3
77802.1,3943,1976,19.73170175,3
79320.8,3982,1977,19.91983928,3
77854.4,3994,1978,19.49283926,3
80884,3988,1979,20.28184554,3
82415.4,3986,1980,20.67621676,3
80767,3967,1981,20.35971767,3
82817.3,3986,1982,20.77704466,3
79236.1,4000,1983,19.809025,3
78082.6,3997,1984,19.53530148,3
79385.6,3997,1985,19.86129597,3
77652.2,4003,1986,19.39850112,3
79364.6,3994,1987,19.87095643,3
83206.1,4015,1988,20.72381071,3
79757.7,4006,1989,19.90956066,3
81641.5,4014,1990,20.33918784,3
80681.3,4008,1991,20.13006487,3
76892.7,4021,1992,19.1227804,3
80174.9,4006,1993,20.01370444,3
79309.6,3945,1994,20.10382763,3
75463.8,3930,1995,19.20198473,3
75550.9,3905,1996,19.34722151,3
81345.3,3988,1997,20.39751755,3
80233.3,3981,1998,20.15405677,3
81618.2,3972,1999,20.54838872,3
81842.6,3988,2000,20.52221665,3
81327.6,3988,2001,20.39307924,3
82599.9,3991,2002,20.69654222,3
81255.3,3995,2003,20.33924906,3
80762.7,4006,2004,20.16043435,3
83620.3,4009,2005,20.85814418,3
82234.8,3967,2006,20.72972019,3
84367.5,3970,2007,21.25125945,3
81831.3,3998,2008,20.46805903,3
84927.1,4009,2009,21.18411075,3
81490.8,4008,2010,20.33203593,3
80800.4,3984,2011,20.2812249,3
81644.2,3988,2012,20.4724674,3
84489.7,3987,2013,21.19129671,3
85355.6,4000,2014,21.3389,3
82789.6,3982,2015,20.79095932,3
82822.7,3984,2016,20.78883032,3
83056.5,3941,2017,21.07498097,3
84456.4,3958,2018,21.33815058,3
83965.1,3944,2019,21.28932556,3